{0., 2.8756335962562465*^-6}
{0.02, 2.8225298407411406*^-6}
{0.04, 2.773276785184367*^-6}
{0.06, 2.7280174276025655*^-6}
{0.08, 2.686809635490603*^-6}
{0.1, 2.6496529739647966*^-6}
{0.12, 2.6165096414011192*^-6}
{0.14, 2.5873204449894122*^-6}
{0.16, 2.562016763530241*^-6}
{0.18, 2.5405293649881366*^-6}
{0.2, 2.5227948024996675*^-6}
{0.22, 2.5087599714863733*^-6}
{0.24, 2.4983852699095917*^-6}
{0.26, 2.4916466829683244*^-6}
{0.28, 2.488537002411865*^-6}
{0.3, 2.4890662918683124*^-6}
{0.32, 2.4932616158768618*^-6}
{0.34, 2.5011659529033513*^-6}
{0.36, 2.5128361085589943*^-6}
{0.38, 2.5283393232707757*^-6}
{0.4, 2.547748123133851*^-6}
{0.42, 2.571132789757312*^-6}
{0.44, 2.5985506238502577*^-6}
{0.46, 2.630030960382255*^-6}
{0.48, 2.6655546846714607*^-6}
{0.5, 2.7050268865084093*^-6}
{0.52, 2.7375371504801804*^-6}
{0.54, 2.677930480965039*^-6}
{0.56, 2.6222814433869094*^-6}
{0.58, 2.57068326133523*^-6}
{0.6, 2.5231572293466648*^-6}
{0.62, 2.4796770496111464*^-6}
{0.64, 2.4401876824657436*^-6}
{0.66, 2.404619673401255*^-6}
{0.68, 2.3728998847548713*^-6}
{0.7000000000000001, 2.3449594387723975*^-6}
{0.72, 2.320739529559652*^-6}
{0.74, 2.3001956149307223*^-6}
{0.76, 2.2833003500096795*^-6}
{0.78, 2.2700454938241656*^-6}
{0.8, 2.260442885146331*^-6}
{0.8200000000000001, 2.254524443997272*^-6}
{0.84, 2.252340996273649*^-6}
{0.86, 2.2539595174095577*^-6}
{0.88, 2.259458146895753*^-6}
{0.9, 2.2689179878048436*^-6}
{0.92, 2.282410296621483*^-6}
{0.9400000000000001, 2.299977160785541*^-6}
{0.96, 2.32160322368607*^-6}
{0.98, 2.44860025941894*^-6}
{1., 2.3812801678640364*^-6}
{1.02, 2.3178352795874112*^-6}
{1.04, 2.258430180248185*^-6}
{1.06, 2.203122288540289*^-6}
{1.08, 2.1518975783509867*^-6}
{1.1, 2.1046982324483734*^-6}
{1.12, 2.0614435658401244*^-6}
{1.1400000000000001, 2.0220456176188017*^-6}
{1.16, 1.98642066299797*^-6}
{1.18, 1.954497673549698*^-6}
{1.2, 1.9262244991768117*^-6}
{1.22, 1.9015722841071551*^-6}
{1.24, 1.8805383510396394*^-6}
{1.26, 1.8631474628457052*^-6}
{1.28, 1.8494509477177002*^-6}
{1.3, 1.839522567724126*^-6}
{1.32, 1.833449111633646*^-6}
{1.34, 1.8313123699806744*^-6}
{1.36, 1.8331572517724971*^-6}
{1.3800000000000001, 1.8389383965161914*^-6}
{1.4000000000000001, 1.915231815922047*^-6}
{1.42, 1.8493658218428181*^-6}
{1.44, 1.7875612737853173*^-6}
{1.46, 1.729863408317725*^-6}
{1.48, 1.6762135955133897*^-6}
{1.5, 1.6264935320396863*^-6}
{1.52, 1.5805568789675761*^-6}
{1.54, 1.538251360676127*^-6}
{1.56, 1.4994338281321302*^-6}
{1.58, 1.463979998560759*^-6}
{1.6, 1.4317895720540944*^-6}
{1.62, 1.4027859603876584*^-6}
{1.6400000000000001, 1.376907367593586*^-6}
{1.6600000000000001, 1.3540812777823163*^-6}
{1.68, 1.334165348794089*^-6}
{1.7, 1.4184508825307394*^-6}
{1.72, 1.3546198617260356*^-6}
{1.74, 1.2951643406104631*^-6}
{1.76, 1.2400953471295058*^-6}
{1.78, 1.1892250529894465*^-6}
{1.8, 1.1422658701247274*^-6}
{1.82, 1.0988914648014415*^-6}
{1.84, 1.058771978520133*^-6}
{1.86, 1.021592891953119*^-6}
{1.8800000000000001, 9.870640032265832*^-7}
{1.9000000000000001, 8.767981211655349*^-7}
{1.92, 8.229459265403707*^-7}
{1.94, 7.758291393443733*^-7}
{1.96, 7.344632874989234*^-7}
{1.98, 6.978801463732335*^-7}
{2., 6.652527935242401*^-7}
{2.02, 6.359112710848736*^-7}
{2.04, 6.09322575090927*^-7}
{2.06, 5.850636800625204*^-7}
{2.08, 5.627971063014957*^-7}
{2.1, 5.422512547261947*^-7}
{2.12, 5.232052936981601*^-7}
{2.14, 5.054777469515196*^-7}
{2.16, 4.88917911345226*^-7}
{2.18, 4.733993854885146*^-7}
{2.2, 4.5881515625982236*^-7}
{2.22, 4.4507383758541925*^-7}
{2.24, 4.32096763719296*^-7}
{2.2600000000000002, 4.1981572172756186*^-7}
{2.2800000000000002, 4.081711636664924*^-7}
{2.3000000000000003, 3.971107858290407*^-7}
{2.32, 3.865883869271858*^-7}
{2.34, 3.7656294478742233*^-7}
{2.36, 3.669978617891999*^-7}
{2.38, 3.5786034408913977*^-7}
{2.4, 3.4912088716363473*^-7}
{2.42, 3.407528460527918*^-7}
{2.44, 3.3273207501890133*^-7}
{2.46, 3.2503662247428036*^-7}
{2.48, 3.176464711966741*^-7}
{2.5, 3.1054331723430386*^-7}
{2.52, 3.0371037903998907*^-7}
{2.54, 2.971322336231541*^-7}
{2.56, 2.9079467326416277*^-7}
{2.58, 2.846845822989698*^-7}
