{0., 2.727462539509187*^-6 + 0.*I}
{0.02, 2.676918359057949*^-6 + 0.*I}
{0.04, 2.63009782805411*^-6 + 0.*I}
{0.06, 2.5871225537403273*^-6 + 0.*I}
{0.08, 2.5480344882528022*^-6 + 0.*I}
{0.1, 2.512821741878601*^-6 + 0.*I}
{0.12, 2.4814385599963486*^-6 + 0.*I}
{0.14, 2.4538204434856043*^-6 + 0.*I}
{0.16, 2.4298953853573767*^-6 + 0.*I}
{0.18, 2.4095920880223056*^-6 + 0.*I}
{0.2, 2.3928458794915212*^-6 + 0.*I}
{0.22, 2.379602896937998*^-6 + 0.*I}
{0.24, 2.3698229679332238*^-6 + 0.*I}
{0.26, 2.3634814980429402*^-6 + 0.*I}
{0.28, 2.360570567106259*^-6 + 0.*I}
{0.3, 2.361099341158268*^-6 + 0.*I}
{0.32, 2.3650938167175*^-6 + 0.*I}
{0.34, 2.3725958223263095*^-6 + 0.*I}
{0.36, 2.3836611015334787*^-6 + 0.*I}
{0.38, 2.3983561843797084*^-6 + 0.*I}
{0.4, 2.4167536136091807*^-6 + 0.*I}
{0.42, 2.438924921578744*^-6 + 0.*I}
{0.44, 2.4649305529357166*^-6 + 0.*I}
{0.46, 2.494805705240244*^-6 + 0.*I}
{0.48, 2.52854084318973*^-6 + 0.*I}
{0.5, 2.5660554956109487*^-6 + 0.*I}
{0.52, 2.5916090278237435*^-6 + 0.*I}
{0.54, 2.534913801203579*^-6 + 0.*I}
{0.56, 2.482062595541779*^-6 + 0.*I}
{0.58, 2.433125831580725*^-6 + 0.*I}
{0.6, 2.3881075475000053*^-6 + 0.*I}
{0.62, 2.3469686769406547*^-6 + 0.*I}
{0.64, 2.3096449084984884*^-6 + 0.*I}
{0.66, 2.2760601359798164*^-6 + 0.*I}
{0.68, 2.246136441287448*^-6 + 0.*I}
{0.7000000000000001, 2.219801415960861*^-6 + 0.*I}
{0.72, 2.196993470975124*^-6 + 0.*I}
{0.74, 2.177665630840793*^-6 + 0.*I}
{0.76, 2.1617881655776523*^-6 + 0.*I}
{0.78, 2.1493502820212702*^-6 + 0.*I}
{0.8, 2.1403609678997085*^-6 + 0.*I}
{0.8200000000000001, 2.1348489481665906*^-6 + 0.*I}
{0.84, 2.132861560030609*^-6 + 0.*I}
{0.86, 2.1344621646955073*^-6 + 0.*I}
{0.88, 2.139725470912871*^-6 + 0.*I}
{0.9, 2.1487298277237686*^-6 + 0.*I}
{0.92, 2.1615451347135706*^-6 + 0.*I}
{0.9400000000000001, 2.1782145175183645*^-6 + 0.*I}
{0.96, 2.1987273666279455*^-6 + 0.*I}
{0.98, 2.2229808741182013*^-6 + 0.*I}
{1., 2.245854087796981*^-6 + 0.*I}
{1.02, 2.1855829482280334*^-6 + 0.*I}
{1.04, 2.1292534215407115*^-6 + 0.*I}
{1.06, 2.0768962897418704*^-6 + 0.*I}
{1.08, 2.0284774882492265*^-6 + 0.*I}
{1.1, 1.983924361291932*^-6 + 0.*I}
{1.12, 1.9431453002233957*^-6 + 0.*I}
{1.1400000000000001, 1.9060442092423738*^-6 + 0.*I}
{1.16, 1.8725310627056753*^-6 + 0.*I}
{1.18, 1.8425295714862187*^-6 + 0.*I}
{1.2, 1.8159827150121868*^-6 + 0.*I}
{1.22, 1.7928566351949367*^-6 + 0.*I}
{1.24, 1.7731431175498898*^-6 + 0.*I}
{1.26, 1.7568605723282418*^-6 + 0.*I}
{1.28, 1.7440530221749278*^-6 + 0.*I}
{1.3, 1.7347860241965714*^-6 + 0.*I}
{1.32, 1.7291375927766226*^-6 + 0.*I}
{1.34, 1.7271809051668325*^-6 + 0.*I}
{1.36, 1.7289537334419412*^-6 + 0.*I}
{1.3800000000000001, 1.7344071654557447*^-6 + 0.*I}
{1.4000000000000001, 1.7953742403737278*^-6 + 0.*I}
{1.42, 1.7328366070294057*^-6 + 0.*I}
{1.44, 1.6743001185482378*^-6 + 0.*I}
{1.46, 1.6197722012357485*^-6 + 0.*I}
{1.48, 1.569166838769192*^-6 + 0.*I}
{1.5, 1.5223463051580684*^-6 + 0.*I}
{1.52, 1.4791505429319598*^-6 + 0.*I}
{1.54, 1.4394172943809022*^-6 + 0.*I}
{1.56, 1.4029954777404912*^-6 + 0.*I}
{1.58, 1.369753469188974*^-6 + 0.*I}
{1.6, 1.3395829227464793*^-6 + 0.*I}
{1.62, 1.3123973056244149*^-6 + 0.*I}
{1.6400000000000001, 1.288121880713026*^-6 + 0.*I}
{1.6600000000000001, 1.266667286558429*^-6 + 0.*I}
{1.68, 1.2478700660651864*^-6 + 0.*I}
{1.7, 1.3185414926665833*^-6 + 0.*I}
{1.72, 1.2579702449220518*^-6 + 0.*I}
{1.74, 1.2017678715826802*^-6 + 0.*I}
{1.76, 1.1498842717638622*^-6 + 0.*I}
{1.78, 1.1020931050588174*^-6 + 0.*I}
{1.8, 1.0580848454422938*^-6 + 0.*I}
{1.82, 1.017522696849169*^-6 + 0.*I}
{1.84, 9.800739337243353*^-7 + 0.*I}
{1.86, 9.45425985340093*^-7 + 0.*I}
{1.8800000000000001, 9.132934992015908*^-7 + 0.*I}
{1.9000000000000001, 8.023263799159104*^-7 + 0.*I}
{1.92, 7.516876033647625*^-7 + 0.*I}
{1.94, 7.076299328098568*^-7 + 0.*I}
{1.96, 6.691190939648943*^-7 + 0.*I}
{1.98, 6.351792317508469*^-7 + 0.*I}
{2., 6.049943235973814*^-7 + 0.*I}
{2.02, 5.779119443067791*^-7 + 0.*I}
{2.04, 5.534178180375131*^-7 + 0.*I}
{2.06, 5.311065903869622*^-7 + 0.*I}
{2.08, 5.106566172437923*^-7 + 0.*I}
{2.1, 4.918101685965584*^-7 + 0.*I}
{2.12, 4.7435844547268106*^-7 + 0.*I}
{2.14, 4.5813038503406587*^-7 + 0.*I}
{2.16, 4.429843073895267*^-7 + 0.*I}
{2.18, 4.288016540144959*^-7 + 0.*I}
{2.2, 4.1548225762097906*^-7 + 0.*I}
{2.22, 4.029407354890978*^-7 + 0.*I}
{2.24, 3.911037117594955*^-7 + 0.*I}
{2.2600000000000002, 3.799076562464743*^-7 + 0.*I}
{2.2800000000000002, 3.692971859198639*^-7 + 0.*I}
{2.3000000000000003, 3.5922371691379094*^-7 + 0.*I}
{2.32, 3.496443846641912*^-7 + 0.*I}
{2.34, 3.405211711074772*^-7 + 0.*I}
{2.36, 3.3182019326957107*^-7 + 0.*I}
{2.38, 3.235111187772103*^-7 + 0.*I}
{2.4, 3.155666820440136*^-7 + 0.*I}
{2.42, 3.079622809670408*^-7 + 0.*I}
{2.44, 3.0067563851111034*^-7 + 0.*I}
{2.46, 2.9368651697676726*^-7 + 0.*I}
{2.48, 2.86976475343172*^-7 + 0.*I}
{2.5, 2.8052866206392065*^-7 + 0.*I}
{2.52, 2.743276372256817*^-7 + 0.*I}
{2.54, 2.683592191698307*^-7 + 0.*I}
{2.56, 2.6261035161052795*^-7 + 0.*I}
{2.58, 2.570689880160188*^-7 + 0.*I}
{2.6, 2.5172399060420083*^-7 + 0.*I}
{2.62, 2.465650417681786*^-7 + 0.*I}
{2.64, 2.415825661224031*^-7 + 0.*I}
{2.66, 2.3676766166207188*^-7 + 0.*I}
{2.68, 2.3211203877386247*^-7 + 0.*I}
{2.7, 2.276079660374779*^-7 + 0.*I}
{2.72, 2.2324822192187527*^-7 + 0.*I}
{2.74, 2.190260516167645*^-7 + 0.*I}
{2.7600000000000002, 2.1493512835140724*^-7 + 0.*I}
{2.7800000000000002, 2.1096951864870885*^-7 + 0.*I}
{2.8000000000000003, 2.0712365103935072*^-7 + 0.*I}
{2.82, 2.0339228782762706*^-7 + 0.*I}
{2.84, 1.9977049955645234*^-7 + 0.*I}
{2.86, 1.9625364186499023*^-7 + 0.*I}
{2.88, 1.9283733447409232*^-7 + 0.*I}
{2.9, 1.8951744206672929*^-7 + 0.*I}
{2.92, 1.862900568620138*^-7 + 0.*I}
{2.94, 1.8315148270389414*^-7 + 0.*I}
{2.96, 1.8009822050974523*^-7 + 0.*I}
{2.98, 1.7712695494053526*^-7 + 0.*I}
{3., 1.7423454217117488*^-7 + 0.*I}
