{0., 0.585574327556269 + 0.*I}
{0.02, 0.5848157196019025 + 0.*I}
{0.04, 0.5841095398472679 + 0.*I}
{0.06, 0.5834582987277717 + 0.*I}
{0.08, 0.5828633302874869 + 0.*I}
{0.1, 0.5823251465239079 + 0.*I}
{0.12, 0.5818437144302138 + 0.*I}
{0.14, 0.5814186682927144 + 0.*I}
{0.16, 0.5810494697499894 + 0.*I}
{0.18, 0.5807355267597968 + 0.*I}
{0.2, 0.580476280763494 + 0.*I}
{0.22, 0.5802712694186711 + 0.*I}
{0.24, 0.5801201704859831 + 0.*I}
{0.26, 0.5800228308665609 + 0.*I}
{0.28, 0.5799792833769141 + 0.*I}
{0.3, 0.5799897525648396 + 0.*I}
{0.32, 0.5800546496375903 + 0.*I}
{0.34, 0.5801745553059802 + 0.*I}
{0.36, 0.5803501879508635 + 0.*I}
{0.38, 0.5805823528936314 + 0.*I}
{0.4, 0.5808718666051808 + 0.*I}
{0.42, 0.5812194473453939 + 0.*I}
{0.44, 0.5816255609740413 + 0.*I}
{0.46, 0.5820902076345538 + 0.*I}
{0.48, 0.5826126320700176 + 0.*I}
{0.5, 0.5831909383540115 + 0.*I}
{0.52, 0.583206634102666 + 0.*I}
{0.54, 0.5823291542559408 + 0.*I}
{0.56, 0.5815064957514475 + 0.*I}
{0.58, 0.5807405295546086 + 0.*I}
{0.6, 0.5800321453191448 + 0.*I}
{0.62, 0.5793815721686033 + 0.*I}
{0.64, 0.5787886278149738 + 0.*I}
{0.66, 0.578252908951506 + 0.*I}
{0.68, 0.577773934993025 + 0.*I}
{0.7000000000000001, 0.5773512554877753 + 0.*I}
{0.72, 0.5769845294939292 + 0.*I}
{0.74, 0.5766735831911829 + 0.*I}
{0.76, 0.5764184500799856 + 0.*I}
{0.78, 0.5762193962877583 + 0.*I}
{0.8, 0.5760769316596921 + 0.*I}
{0.8200000000000001, 0.5759918053147446 + 0.*I}
{0.84, 0.575964982001185 + 0.*I}
{0.86, 0.5759975926487978 + 0.*I}
{0.88, 0.5760908487002592 + 0.*I}
{0.9, 0.5762459048059498 + 0.*I}
{0.92, 0.5764636480351382 + 0.*I}
{0.9400000000000001, 0.5767443838898039 + 0.*I}
{0.96, 0.5770873807581971 + 0.*I}
{0.98, 0.5774902274159616 + 0.*I}
{1., 0.5771344814219126 + 0.*I}
