{0., 0.3921571053239 + 0.*I}
{0.02, 0.39288402960770596 + 0.*I}
{0.04, 0.39356381603556145 + 0.*I}
{0.06, 0.39419337686282696 + 0.*I}
{0.08, 0.39477077811833694 + 0.*I}
{0.1, 0.395294921955454 + 0.*I}
{0.12, 0.3957652926392857 + 0.*I}
{0.14, 0.39618175758751684 + 0.*I}
{0.16, 0.396544414109339 + 0.*I}
{0.18, 0.39685347306525 + 0.*I}
{0.2, 0.3971091718717116 + 0.*I}
{0.22, 0.39731171068351345 + 0.*I}
{0.24, 0.39746120699128756 + 0.*I}
{0.26, 0.39755766518617097 + 0.*I}
{0.28, 0.39760095885537167 + 0.*I}
{0.3, 0.39759082470964424 + 0.*I}
{0.32, 0.3975268681584332 + 0.*I}
{0.34, 0.39740858170497023 + 0.*I}
{0.36, 0.39723537860373836 + 0.*I}
{0.38, 0.3970066456791499 + 0.*I}
{0.4, 0.396721820911315 + 0.*I}
{0.42, 0.3963805033887299 + 0.*I}
{0.44, 0.39598260547961667 + 0.*I}
{0.46, 0.39552855942145243 + 0.*I}
{0.48, 0.39501959256186364 + 0.*I}
{0.5, 0.3944580863662397 + 0.*I}
{0.52, 0.39440745584389586 + 0.*I}
{0.54, 0.3952597931247578 + 0.*I}
{0.56, 0.3960631713576097 + 0.*I}
{0.58, 0.39681493634594733 + 0.*I}
{0.6, 0.3975134222422798 + 0.*I}
{0.62, 0.3981576598012151 + 0.*I}
{0.64, 0.3987471440249359 + 0.*I}
{0.66, 0.39928165213532557 + 0.*I}
{0.68, 0.3997611027634305 + 0.*I}
{0.7000000000000001, 0.4001854482102798 + 0.*I}
{0.72, 0.40055459304202395 + 0.*I}
{0.74, 0.4008683338415633 + 0.*I}
{0.76, 0.40112631652637215 + 0.*I}
{0.78, 0.40132800924701145 + 0.*I}
{0.8, 0.4014726905655609 + 0.*I}
{0.8200000000000001, 0.4015594544950112 + 0.*I}
{0.84, 0.40158723622208026 + 0.*I}
{0.86, 0.4015548651428104 + 0.*I}
{0.88, 0.4014611554497327 + 0.*I}
{0.9, 0.4013050491601534 + 0.*I}
